round,passages,links,undefined,endings,cycles,dead,asymmetries
1,90,145,44,6,0,62,0
2,137,216,35,7,0,97,9
3,172,275,41,7,0,130,12
4,213,357,42,7,0,157,14
5,255,434,30,8,0,79,21
6,285,469,9,10,0,91,22
7,294,483,9,10,0,99,22
8,303,500,10,10,1,108,23
9,313,517,11,10,0,118,23
10,324,531,5,10,0,129,25
11,329,543,1,10,0,10,25
12,330,544,1,10,0,11,25
13,331,546,2,10,0,12,25
14,333,549,2,10,0,14,25
15,335,553,3,10,0,16,25
16,338,553,0,11,0,14,25
17,343,560,1,11,0,6,26
18,344,561,1,11,0,7,26
19,345,562,0,11,0,5,26
20,347,564,0,12,0,3,26
21,347,567,0,12,0,0,26
22,351,552,7,12,0,15,18
23,358,563,5,12,0,12,22
24,363,570,5,12,0,8,22
25,368,577,4,12,0,13,22
26,372,585,4,12,0,9,24
27,376,591,3,12,0,4,25
28,379,595,2,12,0,6,25
29,381,597,1,12,0,8,25
30,382,598,1,12,0,9,25
31,383,599,0,12,0,0,26
32,383,599,0,12,0,0,26
33,385,605,4,12,0,16,25
34,389,612,6,12,0,20,25
35,395,622,8,12,0,20,25
36,403,638,14,12,0,27,25
37,417,657,12,12,0,21,25
38,429,676,15,12,0,32,25
39,444,693,6,12,0,41,26
40,450,703,5,12,0,28,27
41,455,713,6,12,0,33,27
42,461,719,0,12,0,0,28
43,461,697,0,12,1,3,23
44,461,697,0,12,0,0,23
45,461,702,2,12,0,18,22
46,463,704,0,13,0,0,23
47,463,701,1,13,0,2,20
48,464,703,2,13,0,3,20
49,466,705,0,13,0,0,21
50,466,703,2,13,0,4,19
FINAL,466,703,2,13,0,4,19
1,466,703,2,13,0,4,19
2,468,707,3,13,0,2,19
3,471,712,2,13,0,4,19
4,473,714,1,13,0,6,19
5,474,716,2,13,0,7,19
6,476,718,1,13,0,9,19
7,477,719,0,13,0,0,19
8,494,730,3,13,0,95,9
9,497,737,5,13,0,95,9
10,502,742,4,13,0,100,9
11,506,747,0,13,0,70,11
12,506,758,0,13,0,0,11
13,508,764,2,13,0,13,8
14,510,769,2,13,0,4,8
15,512,773,1,13,0,0,8
16,513,774,1,13,0,1,8
17,514,775,0,13,0,0,9
FINAL,514,775,0,13,0,0,9
1,514,775,0,13,0,0,9
2,515,780,1,13,1,12,7
3,516,781,0,13,1,12,7
4,521,790,1,13,0,0,9
5,522,791,0,13,0,0,9
6,525,793,6,13,0,25,7
7,531,800,1,13,0,10,8
8,532,802,2,13,0,11,8
9,534,806,1,13,1,13,8
10,535,807,1,13,0,14,8
11,536,808,0,13,0,0,9
12,536,810,4,13,0,26,7
13,540,814,0,13,0,0,9
14,540,814,0,13,0,0,9
15,534,806,4,13,0,15,10
16,538,810,0,13,0,0,11
17,527,798,8,13,0,24,2
18,535,808,4,13,0,3,5
19,539,816,0,13,0,0,6
20,543,819,0,13,0,0,6
21,542,819,9,13,0,26,4
22,551,829,2,13,0,5,7
23,553,831,0,13,0,0,7
24,554,832,0,13,0,0,7
25,554,832,0,13,0,0,7
26,558,840,4,13,0,0,7
27,562,844,0,13,0,0,8
28,563,840,0,13,0,5,8
29,563,845,0,13,0,0,8
30,563,846,0,13,0,0,6
31,560,843,4,13,0,13,4
32,564,849,0,13,0,0,6
33,566,849,2,13,0,5,6
34,568,851,0,13,0,0,7
35,573,864,1,13,0,4,3
36,574,869,0,13,0,0,3
37,574,870,0,13,0,0,3
38,580,882,0,13,0,0,3
39,580,882,0,13,0,0,3
40,575,878,3,13,0,6,2
41,578,881,0,13,0,0,3
42,574,877,4,13,0,55,1
43,578,881,0,13,0,0,1
44,579,881,0,13,0,0,2
45,580,882,1,13,0,0,0
46,581,883,0,13,0,0,1
47,585,889,3,13,0,2,2
48,588,893,2,13,0,2,2
49,590,897,4,13,0,4,2
50,594,902,5,13,0,8,2
FINAL,594,902,5,13,0,8,2
1,594,902,5,13,0,8,2
2,599,912,9,13,0,13,2
3,608,924,12,13,0,22,2
4,620,937,7,13,0,34,2
5,627,945,6,13,0,41,2
6,633,952,5,13,0,47,2
7,638,959,5,13,0,52,2
8,643,965,3,13,0,57,3
9,646,968,3,13,0,60,3
10,649,971,1,13,0,63,3
11,650,972,1,13,0,64,3
12,651,973,1,13,0,65,3
13,652,976,3,13,0,66,3
14,655,979,3,13,0,69,3
15,658,986,0,13,0,0,3
16,663,996,0,13,0,0,1
17,662,995,0,13,0,0,0
FINAL,662,995,0,13,0,0,0
